Zipcode,City,State,TaxReturnsFiled,EstimatedPopulation,TotalWages,County
29420,NORTH CHARLESTON,SC,8716,15694,317416758,Dorchester
29422,CHARLESTON,SC,448,696,14000094,Charleston
29423,CHARLESTON,SC,418,687,14306091,Charleston
29426,ADAMS RUN,SC,849,1486,21130770,Charleston
29429,AWENDAW,SC,1339,2344,44442668,Charleston
29431,BONNEAU,SC,2638,4826,82612373,Berkeley
29432,BRANCHVILLE,SC,1166,2107,32495456,Orangeburg
29435,COTTAGEVILLE,SC,1640,3005,45850327,Colleton
29436,CROSS,SC,1867,3266,45202533,Berkeley
29437,DORCHESTER,SC,1039,1874,31800085,Dorchester
29438,EDISTO ISLAND,SC,1193,1976,31652508,Charleston
29439,FOLLY BEACH,SC,1228,1827,46996279,Charleston
29440,GEORGETOWN,SC,11386,20441,309147536,Georgetown
29442,GEORGETOWN,SC,1109,1951,31690867,Georgetown
29445,GOOSE CREEK,SC,24664,43301,853647424,Berkeley
29446,GREEN POND,SC,531,917,12735942,Colleton
29448,HARLEYVILLE,SC,1069,1946,29963954,Dorchester
29449,HOLLYWOOD,SC,3509,6131,112055204,Charleston
29450,HUGER,SC,1394,2463,36442365,Berkeley
29451,ISLE OF PALMS,SC,2203,3790,133836057,Charleston
29453,JAMESTOWN,SC,559,996,15858157,Berkeley
29455,JOHNS ISLAND,SC,8714,14830,393184763,Charleston
29456,LADSON,SC,11562,20484,369076755,Dorchester
29457,JOHNS ISLAND,SC,540,877,14432046,Charleston
29458,MC CLELLANVILLE,SC,1168,1980,27804444,Charleston
29461,MONCKS CORNER,SC,13301,23943,437677041,Berkeley
29464,MOUNT PLEASANT,SC,22010,36456,1094083177,Charleston
29465,MOUNT PLEASANT,SC,667,1052,22412447,Charleston
29466,MOUNT PLEASANT,SC,12315,23409,777530522,Charleston
29468,PINEVILLE,SC,838,1447,18839448,Berkeley
29469,PINOPOLIS,SC,421,761,15992861,Berkeley
29470,RAVENEL,SC,1892,3345,57376672,Charleston
29471,REEVESVILLE,SC,669,1193,17405498,Dorchester
29472,RIDGEVILLE,SC,3449,6169,99725835,Dorchester
29474,ROUND O,SC,934,1693,24868141,Colleton
29475,RUFFIN,SC,1036,1930,26862539,Colleton
29477,SAINT GEORGE,SC,2796,5008,77692858,Dorchester
29479,SAINT STEPHEN,SC,2831,5138,72094771,Berkeley
29481,SMOAKS,SC,823,1478,18977360,Colleton
29482,SULLIVANS ISLAND,SC,936,1573,84976786,Charleston
29483,SUMMERVILLE,SC,28413,51619,998665611,Dorchester
29484,SUMMERVILLE,SC,845,1420,23780973,Dorchester
29485,SUMMERVILLE,SC,21150,39303,855615052,Dorchester
29487,WADMALAW ISLAND,SC,1231,2171,40869227,Charleston
29488,WALTERBORO,SC,9338,16772,236675420,Colleton
29492,CHARLESTON,SC,4434,7977,330093922,Berkeley
29501,FLORENCE,SC,18525,32929,752301619,Florence
29502,FLORENCE,SC,981,1631,34878779,Florence
29503,FLORENCE,SC,416,686,11306455,Florence
29504,FLORENCE,SC,543,922,16764247,Florence
29505,FLORENCE,SC,10355,18766,383578629,Florence
29506,FLORENCE,SC,7824,13667,190085130,Florence
29510,ANDREWS,SC,4518,8445,123886908,Georgetown
29511,AYNOR,SC,2191,4102,64496705,Horry
29512,BENNETTSVILLE,SC,7292,12911,167256538,Marlboro
29516,BLENHEIM,SC,395,688,9496045,Marlboro
29518,CADES,SC,627,1145,15357461,Williamsburg
29520,CHERAW,SC,5950,10687,163552577,Chesterfield
29525,CLIO,SC,966,1747,20933523,Marlboro
29526,CONWAY,SC,15776,27572,418545074,Horry
29527,CONWAY,SC,8830,15768,221337156,Horry
29528,CONWAY,SC,911,1552,24109826,Horry
29530,COWARD,SC,1125,2115,28152808,Florence
29532,DARLINGTON,SC,8235,14529,214052755,Darlington
29536,DILLON,SC,7003,12738,166049825,Dillon
29540,DARLINGTON,SC,2786,5086,72790669,Darlington
29541,EFFINGHAM,SC,3846,7061,115751995,Florence
29543,FORK,SC,256,448,5847595,Dillon
29544,GALIVANTS FERRY,SC,1983,3649,55278466,Horry
29545,GREEN SEA,SC,741,1382,17346236,Horry
29546,GRESHAM,SC,1117,2067,23478250,Marion
29547,HAMER,SC,1137,2092,29450259,Dillon
29550,HARTSVILLE,SC,12328,22614,412504837,Darlington
29551,HARTSVILLE,SC,886,1546,27672982,Darlington
29554,HEMINGWAY,SC,4070,7371,99113904,Williamsburg
29555,JOHNSONVILLE,SC,2490,4688,72692401,Florence
29556,KINGSTREE,SC,5377,9547,119048679,Williamsburg
29560,LAKE CITY,SC,5533,10070,134453222,Florence
29563,LAKE VIEW,SC,1205,2149,28295667,Dillon
29564,LANE,SC,445,749,8841448,Williamsburg
29565,LATTA,SC,2861,5245,70550097,Dillon
29566,LITTLE RIVER,SC,8137,13471,187348560,Horry
29567,LITTLE ROCK,SC,403,767,8988764,Dillon
29568,LONGS,SC,5249,9099,123369174,Horry
29569,LORIS,SC,6912,12428,171986316,Horry
29570,MC COLL,SC,1576,2881,34453450,Marlboro
29571,MARION,SC,6664,11838,156427513,Marion
29572,MYRTLE BEACH,SC,4602,7182,158605770,Horry
29574,MULLINS,SC,5005,8786,112291707,Marion
29575,MYRTLE BEACH,SC,8034,13088,204334142,Horry
29576,MURRELLS INLET,SC,12513,20949,339003314,Horry
29577,MYRTLE BEACH,SC,12755,20742,310353625,Horry
29578,MYRTLE BEACH,SC,1544,2457,41878060,Horry
29579,MYRTLE BEACH,SC,14282,24336,463007727,Horry
29580,NESMITH,SC,616,1051,11741176,Williamsburg
29581,NICHOLS,SC,1824,3317,45257275,Horry
29582,NORTH MYRTLE BEACH,SC,7083,11455,176998186,Horry
29583,PAMPLICO,SC,2208,4058,59088838,Florence
29584,PATRICK,SC,1002,1833,27148339,Chesterfield
29585,PAWLEYS ISLAND,SC,7088,12435,256222218,Georgetown
29587,MYRTLE BEACH,SC,726,1141,19183362,Horry
29588,MYRTLE BEACH,SC,17135,29718,463158568,Horry
29590,SALTERS,SC,999,1751,20707385,Williamsburg
29591,SCRANTON,SC,1983,3681,52686201,Florence
29592,SELLERS,SC,475,866,10377322,Dillon
29593,SOCIETY HILL,SC,898,1570,22037300,Darlington
29596,WALLACE,SC,1015,1860,26227201,Marlboro
29597,NORTH MYRTLE BEACH,SC,692,1057,16418557,Horry
29598,NORTH MYRTLE BEACH,SC,262,401,5377327,Horry
29601,GREENVILLE,SC,3972,6135,168093557,Greenville
29602,GREENVILLE,SC,489,758,15947429,Greenville
29604,GREENVILLE,SC,381,585,14577599,Greenville
29605,GREENVILLE,SC,14791,25802,589794615,Greenville
29606,GREENVILLE,SC,698,1011,15331382,Greenville
29607,GREENVILLE,SC,15323,26061,633647514,Greenville
29608,GREENVILLE,SC,381,637,10473673,Greenville
29609,GREENVILLE,SC,12015,20866,441808195,Greenville
29610,GREENVILLE,SC,486,878,10952375,Greenville
29611,GREENVILLE,SC,11465,20333,269394941,Greenville
29614,GREENVILLE,SC,326,359,4231795,Greenville
29615,GREENVILLE,SC,17145,29038,729146954,Greenville
29616,GREENVILLE,SC,466,755,21525864,Greenville
29617,GREENVILLE,SC,9940,17904,280846555,Greenville
29620,ABBEVILLE,SC,5554,10139,154549847,Abbeville
29621,ANDERSON,SC,16337,29826,618745814,Anderson
29622,ANDERSON,SC,1056,1778,32828514,Anderson
29624,ANDERSON,SC,6032,10476,119702617,Anderson
29625,ANDERSON,SC,11391,20343,358069669,Anderson
29626,ANDERSON,SC,5166,9391,146949883,Anderson
29627,BELTON,SC,7226,13569,223866724,Anderson
29628,CALHOUN FALLS,SC,1138,2078,24915534,Abbeville
29630,CENTRAL,SC,4934,8493,155176706,Pickens
29631,CLEMSON,SC,4370,7118,156294317,Pickens
29633,CLEMSON,SC,419,652,16345121,Pickens
29635,CLEVELAND,SC,581,1083,19728288,Greenville
29638,DONALDS,SC,1146,2138,35478710,Abbeville
29639,DUE WEST,SC,626,1105,16819681,Abbeville
29640,EASLEY,SC,12688,23405,398661426,Pickens
29641,EASLEY,SC,884,1514,27723432,Pickens
29642,EASLEY,SC,12920,24584,549675212,Pickens
29643,FAIR PLAY,SC,1173,2233,36416565,Oconee
29644,FOUNTAIN INN,SC,8052,14854,281624143,Greenville
29645,GRAY COURT,SC,4259,7882,131768760,Laurens
29646,GREENWOOD,SC,11228,20381,306219341,Greenwood
29648,GREENWOOD,SC,521,853,16053078,Greenwood
29649,GREENWOOD,SC,10911,19625,380284789,Greenwood
29650,GREER,SC,14578,26997,780708821,Greenville
29651,GREER,SC,17784,33565,693713152,Greenville
29652,GREER,SC,748,1370,17040234,Spartanburg
29653,HODGES,SC,2066,3802,60619824,Greenwood
29654,HONEA PATH,SC,3973,7511,120989753,Anderson
29655,IVA,SC,2746,5236,72919760,Anderson
29657,LIBERTY,SC,6203,11688,197418306,Pickens
29661,MARIETTA,SC,2316,4357,67663387,Greenville
29662,MAULDIN,SC,7034,12247,257911147,Greenville
29664,MOUNTAIN REST,SC,660,1212,18271781,Oconee
29666,NINETY SIX,SC,2754,5143,86625332,Greenwood
29667,NORRIS,SC,253,451,7557738,Pickens
29669,PELZER,SC,5164,9623,169113888,Anderson
29670,PENDLETON,SC,3711,6495,116351513,Anderson
29671,PICKENS,SC,7774,14514,239930398,Pickens
29672,SENECA,SC,5106,9293,224341019,Oconee
29673,PIEDMONT,SC,10853,20014,385824786,Greenville
29676,SALEM,SC,2513,4534,76696904,Oconee
29677,SANDY SPRINGS,SC,314,541,9642667,Anderson
29678,SENECA,SC,8560,15201,257602440,Oconee
29679,SENECA,SC,590,985,15367704,Oconee
29680,SIMPSONVILLE,SC,11384,21575,517070798,Greenville
29681,SIMPSONVILLE,SC,20606,40234,1200442556,Greenville
29682,SIX MILE,SC,1577,3061,53785550,Pickens
29684,STARR,SC,1989,3747,53962629,Anderson
29685,SUNSET,SC,559,1071,31064120,Pickens
29686,TAMASSEE,SC,390,713,11918037,Oconee
29687,TAYLORS,SC,18213,32851,634540323,Greenville
29689,TOWNVILLE,SC,1743,3152,56758330,Anderson
29690,TRAVELERS REST,SC,8341,15487,298804577,Greenville
29691,WALHALLA,SC,4416,8224,120258867,Oconee
29692,WARE SHOALS,SC,2023,3718,55930198,Laurens
29693,WESTMINSTER,SC,5895,10909,168069055,Oconee
29696,WEST UNION,SC,1953,3582,65851508,Oconee
29697,WILLIAMSTON,SC,5072,9672,175572333,Anderson
29702,BLACKSBURG,SC,3967,7392,106766976,Cherokee
29704,CATAWBA,SC,1576,2937,55396603,York
29706,CHESTER,SC,8516,15352,228826669,Chester
29707,FORT MILL,SC,7040,13054,350878177,Lancaster
29708,FORT MILL,SC,10609,21099,710526475,York
29709,CHESTERFIELD,SC,2622,4736,73023921,Chesterfield
29710,CLOVER,SC,12530,23561,558934128,York
29712,EDGEMOOR,SC,1006,1893,35970812,Chester
29714,FORT LAWN,SC,1200,2202,34195930,Chester
29715,FORT MILL,SC,10587,19975,533476617,York
29716,FORT MILL,SC,455,774,14535198,York
29717,HICKORY GROVE,SC,551,1044,17933795,York
29718,JEFFERSON,SC,1447,2673,36800712,Chesterfield
29720,LANCASTER,SC,17905,32663,509011869,Lancaster
29721,LANCASTER,SC,1286,2233,38422665,Lancaster
29726,MC CONNELLS,SC,747,1384,24919062,York
29727,MOUNT CROGHAN,SC,569,1078,13728394,Chesterfield
29728,PAGELAND,SC,3823,7007,93366796,Chesterfield
29729,RICHBURG,SC,1019,1893,31572323,Chester
29730,ROCK HILL,SC,22243,38992,694361728,York
29731,ROCK HILL,SC,730,1197,21275106,York
29732,ROCK HILL,SC,24510,44079,1032047934,York
29741,RUBY,SC,772,1425,20730745,Chesterfield
29742,SHARON,SC,1061,1975,31943089,York
29743,SMYRNA,SC,528,992,15776429,York
29745,YORK,SC,12160,22847,446885934,York
29801,AIKEN,SC,10205,17699,293069697,Aiken
29802,AIKEN,SC,1014,1608,25748954,Aiken
29803,AIKEN,SC,16718,30359,711431663,Aiken
29804,AIKEN,SC,332,560,13380367,Aiken
29805,AIKEN,SC,2336,4367,78140614,Aiken
29809,NEW ELLENTON,SC,1190,2062,35269201,Aiken
29810,ALLENDALE,SC,1934,3522,40095109,Allendale
29812,BARNWELL,SC,4862,8966,146621776,Barnwell
29816,BATH,SC,541,971,12963106,Aiken
29817,BLACKVILLE,SC,1867,3399,42103634,Barnwell
29819,BRADLEY,SC,657,1242,17595818,Greenwood
29821,CLARKS HILL,SC,590,1118,22114662,McCormick
29822,CLEARWATER,SC,705,1275,18156810,Aiken
29824,EDGEFIELD,SC,2749,4973,82744534,Edgefield
29827,FAIRFAX,SC,1381,2342,26533385,Allendale
29828,GLOVERVILLE,SC,509,928,11604884,Aiken
29829,GRANITEVILLE,SC,3319,6269,113189653,Aiken
29831,JACKSON,SC,1728,3125,54482834,Aiken
29832,JOHNSTON,SC,2201,3975,58251902,Edgefield
29834,LANGLEY,SC,559,1026,14383139,Aiken
29835,MC CORMICK,SC,2964,5273,57579370,McCormick
29841,NORTH AUGUSTA,SC,13665,24541,492562917,Aiken
29842,BEECH ISLAND,SC,2683,4890,80676986,Aiken
29843,OLAR,SC,476,879,11794624,Bamberg
29845,PLUM BRANCH,SC,537,957,12108797,McCormick
29847,TRENTON,SC,2055,3711,61253253,Edgefield
29848,TROY,SC,371,687,10581375,Greenwood
29851,WARRENVILLE,SC,2666,4955,82143552,Aiken
29853,WILLISTON,SC,2621,4728,71553875,Barnwell
29856,WINDSOR,SC,1075,2051,28668479,Aiken
29860,NORTH AUGUSTA,SC,5728,11012,249864506,Edgefield
29861,NORTH AUGUSTA,SC,690,1261,16303623,Aiken
29901,BEAUFORT,SC,759,1259,25381657,Beaufort
29902,BEAUFORT,SC,5913,10427,195148931,Beaufort
29903,BEAUFORT,SC,720,1206,16930982,Beaufort
29904,BEAUFORT,SC,904,1024,17846873,Beaufort
29905,BEAUFORT,SC,277,338,6639896,Beaufort
29906,BEAUFORT,SC,7875,14894,230506362,Beaufort
29907,LADYS ISLAND,SC,4869,9271,196460148,Beaufort
29909,OKATIE,SC,7881,13658,195389288,Beaufort
29910,BLUFFTON,SC,14631,27033,586067194,Beaufort
29911,BRUNSON,SC,670,1271,18171146,Hampton
29916,EARLY BRANCH,SC,632,1163,16462773,Hampton
29918,ESTILL,SC,1802,3351,44950057,Hampton
29920,SAINT HELENA ISLAND,SC,4355,7522,98211330,Beaufort
29922,GARNETT,SC,410,713,8803456,Hampton
29924,HAMPTON,SC,1802,3231,57574797,Hampton
29925,HILTON HEAD ISLAND,SC,883,1540,26580086,Beaufort
29926,HILTON HEAD ISLAND,SC,10474,18627,395547741,Beaufort
29927,HARDEEVILLE,SC,3064,5534,82859056,Jasper
29928,HILTON HEAD ISLAND,SC,7725,12708,352627561,Beaufort
29929,ISLANDTON,SC,482,896,13318168,Colleton
29934,PINELAND,SC,424,765,9018724,Jasper
29935,PORT ROYAL,SC,1854,3027,53455743,Beaufort
29936,RIDGELAND,SC,4861,8723,130052577,Jasper
29938,HILTON HEAD ISLAND,SC,787,1309,29735999,Beaufort
29940,SEABROOK,SC,1333,2380,33708098,Beaufort
29941,SHELDON,SC,370,651,10797112,Beaufort
29943,TILLMAN,SC,276,487,6105608,Jasper
29944,VARNVILLE,SC,2049,3755,54973614,Hampton
29945,YEMASSEE,SC,1960,3476,44447289,Hampton
30002,AVONDALE ESTATES,GA,2989,4764,148658617,DeKalb
30003,NORCROSS,GA,323,525,7721994,Gwinnett
30004,ALPHARETTA,GA,24115,45452,2051342137,Fulton
30005,ALPHARETTA,GA,13244,27038,1182244735,Fulton
30006,MARIETTA,GA,734,946,19105420,Cobb
30008,MARIETTA,GA,11686,20427,367217309,Cobb
30009,ALPHARETTA,GA,5041,9051,325809626,Fulton
30010,NORCROSS,GA,480,741,18979146,Gwinnett
30011,AUBURN,GA,6501,12240,244294380,Barrow
30012,CONYERS,GA,11251,20467,331763057,Rockdale
30013,CONYERS,GA,11165,20037,394191818,Rockdale
30014,COVINGTON,GA,13160,24356,447870873,Newton
30015,COVINGTON,GA,880,1525,23281569,Newton
30016,COVINGTON,GA,20641,38269,713544653,Newton
30017,GRAYSON,GA,8625,16626,437919216,Gwinnett
30019,DACULA,GA,16200,32732,876162019,Gwinnett
30021,CLARKSTON,GA,9103,15145,205411658,DeKalb
30023,ALPHARETTA,GA,408,692,22524630,Fulton
30024,SUWANEE,GA,26960,55195,1971018916,Gwinnett
30025,SOCIAL CIRCLE,GA,3939,7568,151352840,Walton
30028,CUMMING,GA,7985,15653,387178081,Forsyth
30030,DECATUR,GA,12822,20510,727116079,DeKalb
30031,DECATUR,GA,798,1101,27098469,Dekalb
30032,DECATUR,GA,21579,34467,498696306,DeKalb
30033,DECATUR,GA,14169,22336,682652809,DeKalb
30034,DECATUR,GA,21079,34866,624211562,DeKalb
30035,DECATUR,GA,9387,15456,251456916,DeKalb
30036,DECATUR,GA,535,834,15649860,Dekalb
30037,DECATUR,GA,568,875,15205097,Dekalb
30038,LITHONIA,GA,16132,27454,560542732,DeKalb
30039,SNELLVILLE,GA,18335,33328,728489587,Gwinnett
30040,CUMMING,GA,22920,45130,1358199686,Forsyth
30041,CUMMING,GA,21838,43444,1458824035,Forsyth
30042,LAWRENCEVILLE,GA,458,735,14356006,Gwinnett
30043,LAWRENCEVILLE,GA,33052,61947,1502398794,Gwinnett
30044,LAWRENCEVILLE,GA,34744,63934,1229572821,Gwinnett
30045,LAWRENCEVILLE,GA,27570,50810,991565892,Gwinnett
30046,LAWRENCEVILLE,GA,1662,2772,45835984,Gwinnett
30047,LILBURN,GA,25881,48371,1101518688,Gwinnett
30048,LILBURN,GA,698,1116,19686332,Gwinnett
30049,LAWRENCEVILLE,GA,423,702,15313116,Gwinnett
30052,LOGANVILLE,GA,25266,48549,1046563274,Walton
30054,OXFORD,GA,5085,9519,187696977,Newton
30055,MANSFIELD,GA,1351,2567,51930005,Jasper
30056,NEWBORN,GA,1096,2104,37048306,Jasper
30058,LITHONIA,GA,23466,39848,739679135,DeKalb
30060,MARIETTA,GA,13651,23627,371188649,Cobb
30061,MARIETTA,GA,728,1149,22139315,Cobb
30062,MARIETTA,GA,28663,53468,1769445274,Cobb
30064,MARIETTA,GA,20455,37766,1165135577,Cobb
30065,MARIETTA,GA,338,528,10632585,Cobb
30066,MARIETTA,GA,25212,46080,1357866092,Cobb
30067,MARIETTA,GA,20354,33810,1039583234,Cobb
30068,MARIETTA,GA,15207,28538,1156658958,Cobb
30070,PORTERDALE,GA,492,861,10177910,Newton
30071,NORCROSS,GA,9413,17175,295300119,Gwinnett
30072,PINE LAKE,GA,704,1064,22208353,DeKalb
30074,REDAN,GA,302,483,8029621,Dekalb
30075,ROSWELL,GA,23928,44807,1843240588,Fulton
30076,ROSWELL,GA,19161,34455,1087537165,Fulton
30077,ROSWELL,GA,463,722,14962503,Fulton
30078,SNELLVILLE,GA,14878,27489,675007492,Gwinnett
30079,SCOTTDALE,GA,1599,2558,46449253,DeKalb
30080,SMYRNA,GA,23734,37216,1199926602,Cobb
30081,SMYRNA,GA,639,1013,19094076,Cobb
30082,SMYRNA,GA,12121,20747,653088075,Cobb
30083,STONE MOUNTAIN,GA,23865,39661,641302310,DeKalb
30084,TUCKER,GA,16842,28906,655660669,DeKalb
30085,TUCKER,GA,500,753,16447592,Dekalb
30086,STONE MOUNTAIN,GA,681,1086,19936455,Dekalb
30087,STONE MOUNTAIN,GA,16974,30003,760489426,DeKalb
30088,STONE MOUNTAIN,GA,11688,19487,355784527,DeKalb
30091,NORCROSS,GA,488,781,13733826,Gwinnett
30092,NORCROSS,GA,15235,27101,858478494,Gwinnett
30093,NORCROSS,GA,18180,32902,437019260,Gwinnett
30094,CONYERS,GA,13348,24556,539176287,Rockdale
30095,DULUTH,GA,453,716,14630922,Gwinnett
30096,DULUTH,GA,28456,49623,1106731933,Gwinnett
30097,DULUTH,GA,16740,33363,1428433221,Fulton
30101,ACWORTH,GA,23163,44804,1293162174,Cobb
30102,ACWORTH,GA,16408,29964,662536193,Cherokee
30103,ADAIRSVILLE,GA,5876,11396,201359309,Bartow
30104,ARAGON,GA,1979,3835,61408734,Polk
30105,ARMUCHEE,GA,1178,2263,40674129,Floyd
30106,AUSTELL,GA,9020,15566,289005163,Cobb
30107,BALL GROUND,GA,5458,10682,240554192,Cherokee
30108,BOWDON,GA,3221,6056,98023774,Carroll
30110,BREMEN,GA,5175,9923,177752142,Haralson
30112,CARROLLTON,GA,838,1447,25540958,Carroll
30113,BUCHANAN,GA,2420,4629,71212439,Haralson
30114,CANTON,GA,19266,37231,955150485,Cherokee
30115,CANTON,GA,14489,28564,779574179,Cherokee
30116,CARROLLTON,GA,9234,17606,363033718,Carroll
30117,CARROLLTON,GA,12847,22971,399133200,Carroll
30120,CARTERSVILLE,GA,16504,31159,583451524,Bartow
30121,CARTERSVILLE,GA,8469,15766,300373631,Bartow
30122,LITHIA SPRINGS,GA,9704,16833,325752947,Douglas
30123,CASSVILLE,GA,400,728,10254856,Bartow
30124,CAVE SPRING,GA,1308,2451,40618742,Floyd
30125,CEDARTOWN,GA,9301,17531,263150829,Polk
30126,MABLETON,GA,16253,29224,894112014,Cobb
30127,POWDER SPRINGS,GA,25803,48326,1209384578,Cobb
30132,DALLAS,GA,13113,25321,569160215,Paulding
30133,DOUGLASVILLE,GA,561,911,15697062,Douglas
30134,DOUGLASVILLE,GA,17573,32452,632301081,Douglas
30135,DOUGLASVILLE,GA,25911,48247,1114284443,Douglas
30137,EMERSON,GA,758,1402,22592653,Bartow
30139,FAIRMOUNT,GA,1667,3221,51448690,Gordon
30141,HIRAM,GA,9575,17960,397277797,Paulding
30143,JASPER,GA,9635,17843,345149639,Pickens
30144,KENNESAW,GA,21815,38067,948599536,Cobb
30145,KINGSTON,GA,3155,6306,128870295,Bartow
30147,LINDALE,GA,1884,3484,55977151,Floyd
30148,MARBLE HILL,GA,363,639,9384895,Pickens
30152,KENNESAW,GA,17602,33285,1107231532,Cobb
30153,ROCKMART,GA,7295,13703,235743491,Polk
30154,DOUGLASVILLE,GA,386,656,13756664,Douglas
30156,KENNESAW,GA,503,763,15618680,Cobb
30157,DALLAS,GA,18031,34689,749860441,Paulding
30161,ROME,GA,13627,24576,442257879,Floyd
30162,ROME,GA,648,1069,18836970,Floyd
30164,ROME,GA,421,755,10567505,Newton
30165,ROME,GA,15491,28535,495479210,Floyd
30168,AUSTELL,GA,10323,18116,297610405,Cobb
30169,CANTON,GA,389,697,10778922,Cherokee
30170,ROOPVILLE,GA,1258,2372,41302922,Carroll
30171,RYDAL,GA,1395,2739,53585603,Bartow
30172,SHANNON,GA,496,878,11388468,Floyd
30173,SILVER CREEK,GA,2812,5414,94920154,Floyd
30175,TALKING ROCK,GA,2311,4487,74264784,Pickens
30176,TALLAPOOSA,GA,2813,5269,79933661,Haralson
30177,TATE,GA,342,643,9179503,Pickens
30178,TAYLORSVILLE,GA,1571,3091,55727871,Bartow
30179,TEMPLE,GA,6884,13219,238864667,Carroll
30180,VILLA RICA,GA,14139,26821,562492708,Carroll
30182,WACO,GA,1087,2084,33930108,Carroll
30183,WALESKA,GA,2201,4162,83856458,Cherokee
30184,WHITE,GA,2868,5508,126093142,Bartow
30185,WHITESBURG,GA,1621,3108,59766844,Carroll
30187,WINSTON,GA,3856,7398,167297709,Douglas
30188,WOODSTOCK,GA,24012,43717,1173642244,Cherokee
30189,WOODSTOCK,GA,15865,30483,882055221,Cherokee
30204,BARNESVILLE,GA,5027,9083,139259455,Lamar
30205,BROOKS,GA,1390,2676,65113537,Fayette
30206,CONCORD,GA,1143,2292,41191136,Pike
30212,EXPERIMENT,GA,342,587,6539032,Spalding
30213,FAIRBURN,GA,13755,24200,500354976,Fulton
30214,FAYETTEVILLE,GA,11780,21060,482245974,Fayette
30215,FAYETTEVILLE,GA,14585,28423,856460471,Fayette
30216,FLOVILLA,GA,921,1717,23695007,Butts
30217,FRANKLIN,GA,3416,6520,103538528,Heard
30218,GAY,GA,916,1707,27600284,Meriwether
30220,GRANTVILLE,GA,2133,4046,68039459,Coweta
30222,GREENVILLE,GA,1791,3292,45090711,Meriwether
30223,GRIFFIN,GA,14307,26236,377307793,Spalding
30224,GRIFFIN,GA,10732,19652,350041103,Spalding
30228,HAMPTON,GA,15747,28888,573465057,Henry
30230,HOGANSVILLE,GA,3427,6391,99881186,Troup
30233,JACKSON,GA,9290,17221,302153666,Butts
30234,JENKINSBURG,GA,916,1643,28062344,Butts
30236,JONESBORO,GA,20155,35416,648677762,Clayton
30237,JONESBORO,GA,644,1058,18908439,Clayton
30238,JONESBORO,GA,15534,27283,457131344,Clayton
30240,LAGRANGE,GA,12099,22278,436204841,Troup
30241,LAGRANGE,GA,9927,18185,282897258,Troup
30248,LOCUST GROVE,GA,9346,18286,396489236,Henry
30251,LUTHERSVILLE,GA,1045,1916,27837028,Meriwether
30252,MCDONOUGH,GA,16271,32305,794218374,Henry
30253,MCDONOUGH,GA,21483,39530,871523151,Henry
30256,MEANSVILLE,GA,1120,2180,37964354,Pike
30257,MILNER,GA,1763,3333,54883831,Lamar
30258,MOLENA,GA,993,1930,30798952,Pike
30259,MORELAND,GA,1346,2576,52859970,Coweta
30260,MORROW,GA,10794,18588,265705063,Clayton
30263,NEWNAN,GA,22198,41478,825393015,Coweta
30264,NEWNAN,GA,520,917,13289496,Coweta
30265,NEWNAN,GA,13272,25560,687020318,Coweta
30268,PALMETTO,GA,4019,7252,133253999,Fulton
30269,PEACHTREE CITY,GA,16289,31332,1003864377,Fayette
30271,NEWNAN,GA,497,834,17503903,Coweta
30272,RED OAK,GA,347,542,7252773,Fulton
30273,REX,GA,7163,12398,236160092,Clayton
30274,RIVERDALE,GA,14298,24347,364331678,Clayton
30276,SENOIA,GA,5713,11150,253123898,Coweta
30277,SHARPSBURG,GA,8551,17054,450059229,Coweta
30281,STOCKBRIDGE,GA,28449,51336,1079969125,Henry
30285,THE ROCK,GA,343,634,9906994,Upson
30286,THOMASTON,GA,9703,17636,264020029,Upson
30288,CONLEY,GA,3742,6499,108890007,Clayton
30290,TYRONE,GA,3673,7212,240067917,Fayette
30291,UNION CITY,GA,9076,15038,243963204,Fulton
30292,WILLIAMSON,GA,2353,4640,90896289,Pike
30293,WOODBURY,GA,1289,2377,32501976,Meriwether
30294,ELLENWOOD,GA,17702,31079,639132667,DeKalb
30295,ZEBULON,GA,1898,3582,67194119,Pike
30296,RIVERDALE,GA,12925,22048,386770948,Clayton
30297,FOREST PARK,GA,10772,19587,233842567,Clayton
30298,FOREST PARK,GA,414,659,9156345,Clayton
30301,ATLANTA,GA,578,814,40649309,Fulton
30302,ATLANTA,GA,420,564,11777761,Fulton
30303,ATLANTA,GA,33430,33905,56802672,Fulton
30305,ATLANTA,GA,13145,19084,1136149490,Fulton
30306,ATLANTA,GA,11208,16362,928888693,Fulton
30307,ATLANTA,GA,9066,13838,634031848,DeKalb
30308,ATLANTA,GA,8242,10226,417110003,Fulton
30309,ATLANTA,GA,12336,15857,923521797,Fulton
30310,ATLANTA,GA,12845,19613,256132145,Fulton
30311,ATLANTA,GA,15308,24266,339113822,Fulton
30312,ATLANTA,GA,8923,12278,370275696,Fulton
30313,ATLANTA,GA,2036,2783,100688737,Fulton
30314,ATLANTA,GA,8072,11865,138226697,Fulton
30315,ATLANTA,GA,14124,22397,305182543,Fulton
30316,ATLANTA,GA,15412,23221,561874749,DeKalb
30317,ATLANTA,GA,6320,9531,243863386,DeKalb
30318,ATLANTA,GA,22663,34418,839194989,Fulton
30319,ATLANTA,GA,18175,28448,1417154160,DeKalb
30321,ATLANTA,GA,846,1318,25189188,Fulton
30324,ATLANTA,GA,13835,18894,734497144,Fulton
30325,ATLANTA,GA,274,378,10878850,Fulton
